"dscode"	"dcode"	"scode"	"scodeyear"	"year"	"pt"	"fhcl"	"fhpr"	"bdbest"	"poltot"	"polacc"	"polpro"	"polwel"	"unp"	"lnapps"	"lnsttot"	"lngdpsource"	"lngdpdest"	"lndist"
"68"	110	1	10	200010	2000	4.5	6	7	0	2	0	1	1	6.30000019073486	7.71378469467163	11.6714839935303	7.94533586502075	10.2396383285522	2.18616366386414
"69"	110	1	10	200110	2001	4	6	7	0	3.25	0.5	1.5	1.25	6.80000019073486	7.59135723114014	11.6714839935303	8.02044773101807	10.2815132141113	2.18616366386414
"70"	110	1	10	200210	2002	4	6	7	0	7	2	3	2	6.40000009536743	7.64204454421997	11.6714839935303	8.09973907470703	10.3193979263306	2.18616366386414
"71"	110	1	10	200310	2003	4	6	7	0	7	2	3	2	5.90000009536743	7.34213161468506	11.6714839935303	8.18587398529053	10.3666868209839	2.18616366386414
"72"	110	1	10	200410	2004	4	6	7	0	7	2	3	2	5.40000009536743	7.27793836593628	11.6714839935303	8.2727518081665	10.4123811721802	2.18616366386414
"73"	110	1	10	200510	2005	4	6	7	0	7	2	3	2	5	7.56423854827881	11.6714839935303	8.37450504302979	10.4598979949951	2.18616366386414
"74"	110	1	10	200610	2006	4	6	7	0	7	2	3	2	4.80000019073486	7.70526266098022	11.6714839935303	8.48784255981445	10.5158042907715	2.18616366386414
"75"	110	1	10	200710	2007	3.5	6	7	0	7	2	3	2	4.40000009536743	7.63675212860107	11.6714839935303	8.61465930938721	10.5647058486938	2.18616366386414
"76"	110	1	10	200810	2008	4	6	7	36	5.25	2	2	1.25	4.19999980926514	7.7389235496521	11.6714839935303	8.70186901092529	10.572060585022	2.18616366386414
"77"	110	1	10	200910	2009	4	6	7	0	4	2	1	1	5.59999990463257	7.5868034362793	11.6714839935303	8.78255462646484	10.6087608337402	2.18616366386414
"78"	110	1	10	201010	2010	4	6	7	0	4	2	1	1	5.19999980926514	7.59589004516602	11.6714839935303	8.87200450897217	10.6349658966064	2.18616366386414
"79"	110	1	10	201110	2011	4	6	7	0	4	2	1	1	5.09999990463257	7.6629376411438	11.6714839935303	8.95613861083984	10.6651105880737	2.18616366386414
"80"	110	1	10	201210	2012	4	6	7	0	4	2	1	1	5.19999980926514	7.65491724014282	11.6714839935303	9.02536487579346	10.6988306045532	2.18616366386414
"81"	111	1	11	199711	1997	5	4	4	554	0	0	0	0	8.5	5.7990927696228	8.03625011444092	8.72651863098145	10.0910453796387	2.66903209686279
"82"	111	1	11	199811	1998	5	4	3	938	0	0	0	0	7.69999980926514	5.30826759338379	8.03625011444092	8.71316623687744	10.1464729309082	2.66903209686279
"83"	111	1	11	199911	1999	5	4	4	933	0	0	0	0	6.90000009536743	4.95582723617554	8.03625011444092	8.64342784881592	10.1967544555664	2.66903209686279
"84"	111	1	11	200011	2000	5	4	4	1017	2	0	1	1	6.30000019073486	5.16478586196899	8.03625011444092	8.66455078125	10.2396383285522	2.66903209686279
"85"	111	1	11	200111	2001	5	4	4	1072	3.25	0.5	1.5	1.25	6.80000019073486	4.98360681533813	8.03625011444092	8.67130374908447	10.2815132141113	2.66903209686279
"86"	111	1	11	200211	2002	5	4	4	1200	7	2	3	2	6.40000009536743	4.1588830947876	8.03625011444092	8.68291568756104	10.3193979263306	2.66903209686279
"87"	111	1	11	200311	2003	5	4	4	500	7	2	3	2	5.90000009536743	3.40119743347168	8.03625011444092	8.70855903625488	10.3666868209839	2.66903209686279
"88"	111	1	11	200411	2004	5	4	4	1234	7	2	3	2	5.40000009536743	2.30258512496948	8.03625011444092	8.74614906311035	10.4123811721802	2.66903209686279
"89"	111	1	11	200511	2005	4.5	3	3	1389	7	2	3	2	5	3.55534815788269	8.03625011444092	8.77817058563232	10.4598979949951	2.66903209686279
"90"	111	1	11	200611	2006	4.5	3	3	502	7	2	3	2	4.80000019073486	3.36729574203491	8.03625011444092	8.82912540435791	10.5158042907715	2.66903209686279
"91"	111	1	11	200711	2007	4	3	3	317	7	2	3	2	4.40000009536743	3.68887948989868	8.03625011444092	8.88260841369629	10.5647058486938	2.66903209686279
"92"	111	1	11	200811	2008	4.5	4	3	244	5.25	2	2	1.25	4.19999980926514	3.40119743347168	8.03625011444092	8.90321350097656	10.572060585022	2.66903209686279
"93"	111	1	11	200911	2009	4.5	4	3	395	4	2	1	1	5.59999990463257	3.8712010383606	8.03625011444092	8.90750694274902	10.6087608337402	2.66903209686279
"94"	111	1	11	201011	2010	4.5	4	3	428	4	2	1	1	5.19999980926514	3.97029185295105	8.03625011444092	8.92749309539795	10.6349658966064	2.66903209686279
"95"	111	1	11	201111	2011	4	4	3	202	4	2	1	1	5.09999990463257	4.33073329925537	8.03625011444092	8.98003482818604	10.6651105880737	2.66903209686279
"96"	111	1	11	201211	2012	3.5	4	3	211	4	2	1	1	5.19999980926514	4.1588830947876	8.03625011444092	9.0070915222168	10.6988306045532	2.66903209686279
"97"	115	1	15	199715	1997	4	6	6	66	0	0	0	0	8.5	4.34380531311035	10.3310403823853	8.09298896789551	10.0910453796387	2.65633583068848
"98"	115	1	15	199815	1998	3	6	6	527	0	0	0	0	7.69999980926514	4.39444923400879	10.3310403823853	8.13011455535889	10.1464729309082	2.65633583068848
"99"	115	1	15	199915	1999	3	5	6	0	0	0	0	0	6.90000009536743	3.76120018959045	10.3310403823853	8.17047119140625	10.1967544555664	2.65633583068848
"100"	115	1	15	200015	2000	3	5	6	0	2	0	1	1	6.30000019073486	5.03043794631958	10.3310403823853	8.2045841217041	10.2396383285522	2.65633583068848
"101"	115	1	15	200115	2001	3.5	6	6	0	3.25	0.5	1.5	1.25	6.80000019073486	4.46590805053711	10.3310403823853	8.22304725646973	10.2815132141113	2.65633583068848
"102"	115	1	15	200215	2002	3.5	6	6	0	7	2	3	2	6.40000009536743	4.46590805053711	10.3310403823853	8.23143768310547	10.3193979263306	2.65633583068848
"103"	115	1	15	200315	2003	3.5	6	6	0	7	2	3	2	5.90000009536743	4.57471084594727	10.3310403823853	8.24507427215576	10.3666868209839	2.65633583068848
"104"	115	1	15	200415	2004	3.5	5	6	0	7	2	3	2	5.40000009536743	4.72738790512085	10.3310403823853	8.26581192016602	10.4123811721802	2.65633583068848
"105"	115	1	15	200515	2005	3.5	5	6	0	7	2	3	2	5	4.66343927383423	10.3310403823853	8.2861156463623	10.4598979949951	2.65633583068848
"106"	115	1	15	200615	2006	4	5	6	0	7	2	3	2	4.80000019073486	4.46590805053711	10.3310403823853	8.33473110198975	10.5158042907715	2.65633583068848
"107"	115	1	15	200715	2007	3.5	5	6	0	7	2	3	2	4.40000009536743	4.04305124282837	10.3310403823853	8.37600517272949	10.5647058486938	2.65633583068848
"108"	115	1	15	200815	2008	3.5	5	6	0	5.25	2	2	1.25	4.19999980926514	4.83628177642822	10.3310403823853	8.4250955581665	10.572060585022	2.65633583068848
"109"	115	1	15	200915	2009	3.5	5	6	0	4	2	1	1	5.59999990463257	5.21493577957153	10.3310403823853	8.45791435241699	10.6087608337402	2.65633583068848
"110"	115	1	15	201015	2010	4	5	6	0	4	2	1	1	5.19999980926514	5.34710741043091	10.3310403823853	8.48752307891846	10.6349658966064	2.65633583068848
"111"	115	1	15	201115	2011	4	5	6	0	4	2	1	1	5.09999990463257	6.56948137283325	10.3310403823853	8.48375606536865	10.6651105880737	2.65633583068848
"112"	115	1	15	201215	2012	3	5	5	0	4	2	1	1	5.19999980926514	6.39359092712402	10.3310403823853	8.47987747192383	10.6988306045532	2.65633583068848
"113"	118	1	18	199718	1997	3.5	5	4	0	0	0	0	0	8.5	2.7725887298584	7.84502458572388	6.05800104141235	10.0910453796387	2.52051496505737
"114"	118	1	18	199818	1998	4.5	4	4	550	0	0	0	0	7.69999980926514	4.02535152435303	7.84502458572388	5.9876823425293	10.1464729309082	2.52051496505737
"115"	118	1	18	199918	1999	4.5	5	5	24329	0	0	0	0	6.90000009536743	2.56494927406311	7.84502458572388	6.01993036270142	10.1967544555664	2.52051496505737
"116"	118	1	18	200018	2000	3.5	5	5	25050	2	0	1	1	6.30000019073486	3.91202306747437	7.84502458572388	6.02825450897217	10.2396383285522	2.52051496505737
"117"	118	1	18	200118	2001	3.5	5	5	50	3.25	0.5	1.5	1.25	6.80000019073486	2.94443893432617	7.84502458572388	6.06895780563354	10.2815132141113	2.52051496505737
"118"	118	1	18	200218	2002	4	5	5	50	7	2	3	2	6.40000009536743	3.25809645652771	7.84502458572388	6.0575098991394	10.3193979263306	2.52051496505737
"119"	118	1	18	200318	2003	4	5	5	50	7	2	3	2	5.90000009536743	2.99573230743408	7.84502458572388	6.00605773925781	10.3666868209839	2.52051496505737
"120"	118	1	18	200418	2004	4	5	5	50	7	2	3	2	5.40000009536743	2.63905739784241	7.84502458572388	6.06106042861938	10.4123811721802	2.52051496505737
"121"	118	1	18	200518	2005	4	5	5	83	7	2	3	2	5	3.33220458030701	7.84502458572388	6.16354656219482	10.4598979949951	2.52051496505737
"122"	118	1	18	200618	2006	3.5	5	5	50	7	2	3	2	4.80000019073486	3.8712010383606	7.84502458572388	6.24142551422119	10.5158042907715	2.52051496505737
"123"	118	1	18	200718	2007	4	5	5	177	7	2	3	2	4.40000009536743	3.82864141464233	7.84502458572388	6.32428741455078	10.5647058486938	2.52051496505737
"124"	118	1	18	200818	2008	3.5	5	5	50	5.25	2	2	1.25	4.19999980926514	4.07753753662109	7.84502458572388	6.40045690536499	10.572060585022	2.52051496505737
"125"	118	1	18	200918	2009	3.5	5	5	515	4	2	1	1	5.59999990463257	3.55534815788269	7.84502458572388	6.46292018890381	10.6087608337402	2.52051496505737
"126"	118	1	18	201018	2010	3.5	6	6	151	4	2	1	1	5.19999980926514	3.95124363899231	7.84502458572388	6.52272510528564	10.6349658966064	2.52051496505737
"127"	118	1	18	201118	2011	3.5	6	6	50	4	2	1	1	5.09999990463257	3.93182563781738	7.84502458572388	6.60927152633667	10.6651105880737	2.52051496505737
"128"	118	1	18	201218	2012	3.5	6	6	50	4	2	1	1	5.19999980926514	4.09434461593628	7.84502458572388	6.66756963729858	10.6988306045532	2.52051496505737
"129"	119	1	19	199719	1997	1	3	4	0	0	0	0	0	8.5	5.18178367614746	10.4120502471924	8.2910099029541	10.0910453796387	1.2398225069046
"130"	119	1	19	199819	1998	1	3	4	0	0	0	0	0	7.69999980926514	4.82831382751465	10.4120502471924	8.26850605010986	10.1464729309082	1.2398225069046
"131"	119	1	19	199919	1999	1	3	2	0	0	0	0	0	6.90000009536743	5.04985618591309	10.4120502471924	8.26681232452393	10.1967544555664	1.2398225069046
"132"	119	1	19	200019	2000	4	3	6	0	2	0	1	1	6.30000019073486	6.89162588119507	10.4120502471924	8.34913921356201	10.2396383285522	1.2398225069046
"133"	119	1	19	200119	2001	2.5	3	4	0	3.25	0.5	1.5	1.25	6.80000019073486	7.12929773330688	10.4120502471924	8.32193183898926	10.2815132141113	1.2398225069046
"134"	119	1	19	200219	2002	2	3	4	0	7	2	3	2	6.40000009536743	6.43133115768433	10.4120502471924	8.33367156982422	10.3193979263306	1.2398225069046
"135"	119	1	19	200319	2003	2	3	4	0	7	2	3	2	5.90000009536743	5.63478946685791	10.4120502471924	8.35488605499268	10.3666868209839	1.2398225069046
"136"	119	1	19	200419	2004	2	3	4	0	7	2	3	2	5.40000009536743	4.95582723617554	10.4120502471924	8.34841442108154	10.4123811721802	1.2398225069046
"137"	119	1	19	200519	2005	1.5	3	4	0	7	2	3	2	5	4.52178859710693	10.4120502471924	8.3964729309082	10.4598979949951	1.2398225069046
"138"	119	1	19	200619	2006	2	4	6	0	7	2	3	2	4.80000019073486	4.30406522750854	10.4120502471924	8.40518379211426	10.5158042907715	1.2398225069046
"139"	119	1	19	200719	2007	2.5	4	6	0	7	2	3	2	4.40000009536743	4.78749179840088	10.4120502471924	8.387619972229	10.5647058486938	1.2398225069046
"140"	119	1	19	200819	2008	1.5	4	6	0	5.25	2	2	1.25	4.19999980926514	4.83628177642822	10.4120502471924	8.37423706054688	10.572060585022	1.2398225069046
"141"	119	1	19	200919	2009	2	4	6	0	4	2	1	1	5.59999990463257	5.87773561477661	10.4120502471924	8.34541511535645	10.6087608337402	1.2398225069046
"142"	119	1	19	201019	2010	2	4	6	0	4	2	1	1	5.19999980926514	6.58755016326904	10.4120502471924	8.33128261566162	10.6349658966064	1.2398225069046
"143"	119	1	19	201119	2011	2	4	6	0	4	2	1	1	5.09999990463257	6.24222326278687	10.4120502471924	8.34481048583984	10.6651105880737	1.2398225069046
"144"	119	1	19	201219	2012	2	4	6	0	4	2	1	1	5.19999980926514	6.06842565536499	10.4120502471924	8.36166095733643	10.6988306045532	1.2398225069046
"145"	124	1	24	199724	1997	4	4	2	995	0	0	0	0	8.5	5.82304573059082	11.257116317749	7.4264063835144	10.0910453796387	2.33088088035583
"146"	124	1	24	199824	1998	4	3	2	615	0	0	0	0	7.69999980926514	5.79605770111084	11.257116317749	7.46548366546631	10.1464729309082	2.33088088035583
"147"	124	1	24	199924	1999	3.5	3	2	2856	0	0	0	0	6.90000009536743	6.10924768447876	11.257116317749	7.5550103187561	10.1967544555664	2.33088088035583
"148"	124	1	24	200024	2000	4	3	2	1676	2	0	1	1	6.30000019073486	7.26682758331299	11.257116317749	7.56106948852539	10.2396383285522	2.33088088035583
